"Species","Kingdom","Phylum","Class","Order","Family","Genus"
"sBacteria",NA,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae1",NA
"sBacteria",NA,"Acidobacteria","Acidobacteriia","Bryobacterales","Solibacteraceae",NA
"sBacteria",NA,"Acidobacteria","Blastocatellia","Blastocatellales","Pyrinomonadaceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Acidothermales","Acidothermaceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Geodermatophilales","Geodermatophilaceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",NA
"sBacteria",NA,"Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae1",NA
"sBacteria",NA,"Deinococcus-Thermus","Deinococci","Thermales","Thermaceae",NA
"sBacteria",NA,"Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae",NA
"sBacteria",NA,"Planctomycetes","Planctomycetia","Gemmatales","Gemmataceae1",NA
"sBacteria",NA,"Planctomycetes","Planctomycetia","Isosphaerales","Isosphaeraceae",NA
"sBacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"sBacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae1",NA
"sBacteria",NA,"Proteobacteria","Deltaproteobacteria","Myxococcales","Kofleriaceae",NA
"sBacteria",NA,"Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae",NA
"sBacteria",NA,"Acidobacteria","Acidobacteriia","Bryobacterales","Bryobacteraceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae1",NA
"sBacteria",NA,"Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae1",NA
"sBacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae1",NA
"sBacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae1",NA
"sBacteria",NA,"Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA
"sBacteria",NA,"Proteobacteria","Deltaproteobacteria","Myxococcales","Anaeromyxobacteraceae1",NA
"sBacteria",NA,"Proteobacteria","Gammaproteobacteria","Nevskiales","Steroidobacteraceae",NA
"sBacteria",NA,"Verrucomicrobia","Spartobacteria","Chthoniobacterales","Chthoniobacteraceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Sporichthyales","Sporichthyaceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae",NA
"sBacteria",NA,"Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae",NA
"sBacteria",NA,"Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"sBacteria",NA,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA
"sBacteria",NA,"Proteobacteria","Alphaproteobacteria","Holosporales","CandidatuParacaedibacteraceae",NA
"sBacteria",NA,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"sBacteria",NA,"Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae",NA
"Dinghuibacter_silviterrae",NA,"Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae2",NA
"sBacteria",NA,"Chlamydiae","Chlamydiia","Parachlamydiales","Simkaniaceae",NA
"sBacteria",NA,"Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae",NA
"sBacteria",NA,"Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae",NA
"sBacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA
"sBacteria",NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae1",NA
"sBacteria",NA,"Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae1",NA
"Streptacidiphiluneutrinimicus",NA,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae1",NA
"sBacteria",NA,"Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae",NA
"sBacteria",NA,"Chloroflexi","Ktedonobacteria","Thermogemmatisporales","Thermogemmatisporaceae",NA
"sBacteria",NA,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobia_subdivision_31",NA
"sBacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Roseiarcaceae",NA
"sBacteria",NA,"Proteobacteria","Deltaproteobacteria","Desulfarculales","Desulfarculaceae",NA
"sBacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae",NA
"sBacteria",NA,"Proteobacteria","Oligoflexia","Bdellovibrionales","Bdellovibrionaceae1",NA
"sBacteria",NA,"Acidobacteria","Holophagae","Holophagales","Holophagaceae",NA
"sBacteria",NA,"Actinobacteria","Rubrobacteria","Gaiellales","Gaiellaceae",NA
"sBacteria",NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"Clostridium_cellulovorans",NA,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae1",NA
"sBacteria",NA,"Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae",NA
"sBacteria",NA,"Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae",NA
"sBacteria",NA,"Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA
"sBacteria",NA,"Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae",NA
"sBacteria",NA,"Proteobacteria","Deltaproteobacteria","Myxococcales","Phaselicystidaceae",NA
"sBacteria",NA,"Proteobacteria","Oligoflexia","Oligoflexales","Oligoflexaceae",NA
"sBacteria",NA,"Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae",NA
"sBacteria",NA,"Chlamydiae","Chlamydiia","Parachlamydiales","Parachlamydiaceae",NA
"sBacteria",NA,"Chlamydiae","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae",NA
"sBacteria",NA,"Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"sBacteria",NA,"Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA
"sBacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae",NA
"sBacteria",NA,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA
"Anaeromyxobacter_sp._Fw109-5",NA,"Proteobacteria","Deltaproteobacteria","Myxococcales","Anaeromyxobacteraceae2",NA
"sBacteria",NA,"Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae",NA
"sBacteria",NA,"Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae",NA
"sBacteria",NA,"Verrucomicrobia","Methylacidiphilae","Methylacidiphilales","Methylacidiphilaceae",NA
"sBacteria",NA,"Bacteroidetes","Cytophagia","Cytophagales","Amoebophilaceae",NA
"sBacteria",NA,"Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae1",NA
"sBacteria",NA,"Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae",NA
"sBacteria",NA,"Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae",NA
"sBacteria",NA,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae1",NA
"sBacteria",NA,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"sBacteria",NA,"Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae",NA
"sBacteria",NA,"Chloroflexi","Ktedonobacteria","Ktedonobacterales","Thermosporotrichaceae",NA
"sBacteria",NA,"Actinobacteria","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Micrococcales","Dermatophilaceae",NA
"sBacteria",NA,"Bacteroidetes","Cytophagia","Cytophagales","Microscillaceae",NA
"sBacteria",NA,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae1",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae",NA
"sBacteria",NA,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA
"sBacteria",NA,"Verrucomicrobia","Opitutae","Opitutales","Opitutaceae",NA
"sBacteria",NA,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae2",NA
"sBacteria",NA,"Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae",NA
"sBacteria",NA,"Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA
"sBacteria",NA,"Acidobacteria","Vicinamibacteria","1_Vicinamibacteraceae(F)","Vicinamibacteraceae",NA
"sBacteria",NA,"Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",NA
"sBacteria",NA,"Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae",NA
"sBacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Catenulisporales","Actinospicaceae",NA
"sBacteria",NA,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"sBacteria",NA,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae",NA
"Spirochaeta_sp.",NA,"Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae2",NA
"sBacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae1",NA
"Silvibacterium_bohemicum",NA,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae2",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae",NA
"sBacteria",NA,"Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"Acidisphaera_rubrifaciens",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae2",NA
"sBacteria",NA,"Cyanobacteria","1_Leptolyngbyaceae(F)","Synechococcales","Leptolyngbyaceae",NA
"sBacteria",NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA
"sBacteria",NA,"Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Frankiales","Frankiaceae",NA
"sBacteria",NA,"Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae",NA
"sBacteria",NA,"Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"sBacteria",NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA
"Acidobacteriaceae_bacterium_KBS_83",NA,"Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae3",NA
