"Full_name","Short_name","Species","Phylum"
"Acidimicrobiaceae","Acidimi",NA,"Actinobacteria"
"Acidobacteriaceae1","Acidoba",NA,"Acidobacteria"
"Acidothermaceae","Acidoth",NA,"Actinobacteria"
"Actinospicaceae","Actinos",NA,"Actinobacteria"
"Amoebophilaceae","Amoebop",NA,"Bacteroidetes"
"Anaerolineaceae","Anaerol",NA,"Chloroflexi"
"Anaeromyxobacteraceae1","Anaer'1",NA,"Proteobacteria"
"Anaeromyxobacteraceae2","Anaer'2","Anaeromyxobacter_sp._Fw109-5","Proteobacteria"
"Archangiaceae","Archang",NA,"Proteobacteria"
"Bacillaceae","Bacilla",NA,"Firmicutes"
"Bdellovibrionaceae1","Bdellov",NA,"Proteobacteria"
"Beijerinckiaceae","Beijeri",NA,"Proteobacteria"
"Bryobacteraceae","Bryobac",NA,"Acidobacteria"
"CandidatuParacaedibacteraceae","Candida",NA,"Proteobacteria"
"Catenulisporaceae","Catenul",NA,"Actinobacteria"
"Cellulomonadaceae","Cellulo",NA,"Actinobacteria"
"Cellvibrionaceae","Cellvib",NA,"Proteobacteria"
"Chitinophagaceae1","Chiti'1",NA,"Bacteroidetes"
"Chitinophagaceae2","Chiti'2","Dinghuibacter_silviterrae","Bacteroidetes"
"Christensenellaceae","Christe",NA,"Firmicutes"
"Chthoniobacteraceae","Chthoni",NA,"Verrucomicrobia"
"Chthonomonadaceae","Chthono",NA,"Armatimonadetes"
"Clostridiaceae1","Clost'1","Clostridium_cellulovorans","Firmicutes"
"Clostridiaceae2","Clost'2",NA,"Firmicutes"
"Comamonadaceae","Comamon",NA,"Proteobacteria"
"Conexibacteraceae","Conexib",NA,"Actinobacteria"
"Coxiellaceae","Coxiell",NA,"Proteobacteria"
"Dermatophilaceae","Dermato",NA,"Actinobacteria"
"Desulfobacteraceae","Desul'bac",NA,"Proteobacteria"
"Desulfovibrionaceae","Desul'vib",NA,"Proteobacteria"
"Desulfuromonadaceae","Desulfu",NA,"Proteobacteria"
"Ectothiorhodospiraceae","Ectothi",NA,"Proteobacteria"
"Endomicrobiaceae2","Endomic",NA,"Elusimicrobia"
"Enterobacteriaceae","Enterob",NA,"Proteobacteria"
"Fimbriimonadaceae","Fimbrii",NA,"Armatimonadetes"
"Flavobacteriaceae","Flavoba",NA,"Bacteroidetes"
"Frankiaceae","Frankia",NA,"Actinobacteria"
"Gaiellaceae","Gaiella",NA,"Actinobacteria"
"Gallionellaceae","Gallion",NA,"Proteobacteria"
"Geobacteraceae","Geobact",NA,"Proteobacteria"
"Holophagaceae","Holopha",NA,"Acidobacteria"
"Holosporaceae","Holospo",NA,"Proteobacteria"
"Hyphomicrobiaceae1","Hyphomi",NA,"Proteobacteria"
"Hyphomonadaceae","Hyphomo",NA,"Proteobacteria"
"Ilumatobacteraceae","Ilumato",NA,"Actinobacteria"
"Isosphaeraceae","Isospha",NA,"Planctomycetes"
"Ktedonobacteraceae1","Ktedono",NA,"Chloroflexi"
"Legionellaceae","Legione",NA,"Proteobacteria"
"Lentimicrobiaceae","Lentimi",NA,"Bacteroidetes"
"Methylacidiphilaceae","Methyla",NA,"Verrucomicrobia"
"Methylocystaceae","Methylo",NA,"Proteobacteria"
"Microbacteriaceae1","Microba",NA,"Actinobacteria"
"Micromonosporaceae","Micromo",NA,"Actinobacteria"
"Micropepsaceae","Micrope",NA,"Proteobacteria"
"Moraxellaceae","Moraxel",NA,"Proteobacteria"
"Mycobacteriaceae1","Mycob'1",NA,"Actinobacteria"
"Mycobacteriaceae4","Mycob'4","Mycobacterium_sp._236","Actinobacteria"
"Myxococcaceae","Myxococ",NA,"Proteobacteria"
"Nitrosomonadaceae","Nitroso",NA,"Proteobacteria"
"Nocardiaceae","Nocar'ace",NA,"Actinobacteria"
"Nocardioidaceae","Nocar'oid",NA,"Actinobacteria"
"Oligoflexaceae","Oligofl",NA,"Proteobacteria"
"Opitutaceae","Opituta",NA,"Verrucomicrobia"
"Paenibacillaceae1","Paeni'1",NA,"Firmicutes"
"Paenibacillaceae3","Paeni'3","Paenibacillusp._RPCal-N_1-1","Firmicutes"
"Paludibacteraceae","Paludib",NA,"Bacteroidetes"
"Parachlamydiaceae","Parachl",NA,"Chlamydiae"
"Peptostreptococcaceae","Peptost",NA,"Firmicutes"
"Phaselicystidaceae","Phaseli",NA,"Proteobacteria"
"Phycisphaeraceae","Phycisp",NA,"Planctomycetes"
"Planctomycetaceae","Plancto",NA,"Planctomycetes"
"Planococcaceae","Planoco",NA,"Firmicutes"
"Prolixibacteraceae","Prolixi",NA,"Bacteroidetes"
"Pseudomonadaceae","Pseudom",NA,"Proteobacteria"
"Pseudonocardiaceae","Pseudon",NA,"Actinobacteria"
"Pyrinomonadaceae","Pyrinom",NA,"Acidobacteria"
"Rhabdochlamydiaceae","Rhabdoc",NA,"Chlamydiae"
"Rhizobiaceae","Rhizobi",NA,"Proteobacteria"
"Rhodospirillaceae3","Rhodosp","Aliidongia_dinghuensis","Proteobacteria"
"Roseiarcaceae","Roseiar",NA,"Proteobacteria"
"Ruminococcaceae","Ruminoc",NA,"Firmicutes"
"Sandaracinaceae","Sandara",NA,"Proteobacteria"
"Simkaniaceae","Simkani",NA,"Chlamydiae"
"Solibacteraceae","Solibac",NA,"Acidobacteria"
"Sphingobacteriaceae1","Sphin'bac",NA,"Bacteroidetes"
"Sphingomonadaceae","Sphin'mon",NA,"Proteobacteria"
"Spirochaetaceae1","Spiroch",NA,"Spirochaetes"
"Sporichthyaceae","Sporich",NA,"Actinobacteria"
"Sporomusaceae","Sporomu",NA,"Firmicutes"
"Sterolibacteriaceae","Steroli",NA,"Proteobacteria"
"Streptomycetaceae1","Strep'myc'1  ","Streptacidiphiluneutrinimicus","Actinobacteria"
"Streptomycetaceae2","Strep'myc'2  ",NA,"Actinobacteria"
"Streptosporangiaceae","Strep'spo'eae",NA,"Actinobacteria"
"Synergistaceae","Synergi",NA,"Synergistetes"
"Syntrophaceae","Syntr'ace",NA,"Proteobacteria"
"Syntrophorhabdaceae","Syntr'orh",NA,"Proteobacteria"
"Thermoanaerobacteraceae","Therm'ter",NA,"Firmicutes"
"Thermoanaerobaculaceae","Therm'ula",NA,"Acidobacteria"
"Thermogemmatisporaceae","Thermog",NA,"Chloroflexi"
"Thermomonosporaceae","Thermom",NA,"Actinobacteria"
"Thermosporotrichaceae","Thermos",NA,"Chloroflexi"
"Veillonellaceae","Veillon",NA,"Firmicutes"
"Verrucomicrobia_subdivision_31","Verru'_su'31",NA,"Verrucomicrobia"
"Verrucomicrobia_subdivision_33","Verru'_su'33","bacterium_Ellin5102","Verrucomicrobia"
"Verrucomicrobiaceae","Verru'cea",NA,"Verrucomicrobia"
"Vicinamibacteraceae","Vicinam",NA,"Acidobacteria"
"Vulgatibacteraceae","Vulgati",NA,"Proteobacteria"
"Xanthomonadaceae","Xanthom",NA,"Proteobacteria"
