"Full_name","Short_name","Species","Phylum"
"Acetobacteraceae1","Acetoba",NA,"Proteobacteria"
"Acidothermaceae","Acidoth",NA,"Actinobacteria"
"Actinospicaceae","Actinos",NA,"Actinobacteria"
"Anaerolineaceae","Anaerol",NA,"Chloroflexi"
"Bacillaceae","Bacilla",NA,"Firmicutes"
"Bradyrhizobiaceae","Bradyrh",NA,"Proteobacteria"
"Bryobacteraceae","Bryobac",NA,"Acidobacteria"
"Burkholderiaceae1","Burkhol",NA,"Proteobacteria"
"Caulobacteraceae","Cauloba",NA,"Proteobacteria"
"Chitinophagaceae1","Chitino",NA,"Bacteroidetes"
"Chromobacteriaceae","Chromob",NA,"Proteobacteria"
"Chthoniobacteraceae","Chthoni",NA,"Verrucomicrobia"
"Chthonomonadaceae","Chthono",NA,"Armatimonadetes"
"Comamonadaceae","Comamon",NA,"Proteobacteria"
"Conexibacteraceae","Conexib",NA,"Actinobacteria"
"Cytophagaceae1","Cytopha",NA,"Bacteroidetes"
"Frankiaceae","Frankia",NA,"Actinobacteria"
"Gemmataceae1","Gemmata",NA,"Planctomycetes"
"Gemmatimonadaceae","Gemmati",NA,"Gemmatimonadetes"
"Geodermatophilaceae","Geoderm",NA,"Actinobacteria"
"Halanaerobiaceae","Halanae",NA,"Firmicutes"
"Hyphomicrobiaceae1","Hyphomi",NA,"Proteobacteria"
"Ilumatobacteraceae","Ilumato",NA,"Actinobacteria"
"Kineosporiaceae","Kineosp",NA,"Actinobacteria"
"Ktedonobacteraceae1","Ktedo'1",NA,"Chloroflexi"
"Ktedonobacteraceae2","Ktedo'2","Ktedonobacter_racemifer","Chloroflexi"
"Micrococcaceae","Microco",NA,"Actinobacteria"
"Microscillaceae","Microsc",NA,"Bacteroidetes"
"Mycobacteriaceae1","Mycobac",NA,"Actinobacteria"
"Nitrosomonadaceae","Nitroso",NA,"Proteobacteria"
"Nocardiaceae","Nocar'ace",NA,"Actinobacteria"
"Nocardioidaceae","Nocar'oid",NA,"Actinobacteria"
"Oxalobacteraceae","Oxaloba",NA,"Proteobacteria"
"Paenibacillaceae1","Paeni'1",NA,"Firmicutes"
"Paenibacillaceae2","Paeni'2","Paenibacillusp._27-9","Firmicutes"
"Peptococcaceae","Peptoco",NA,"Firmicutes"
"Phaselicystidaceae","Phaseli",NA,"Proteobacteria"
"Pirellulaceae","Pirellu",NA,"Planctomycetes"
"Polyangiaceae","Polyang",NA,"Proteobacteria"
"Pseudonocardiaceae","Pseudon",NA,"Actinobacteria"
"Rhodospirillaceae1","Rhodosp",NA,"Proteobacteria"
"Roseiarcaceae","Roseiar",NA,"Proteobacteria"
"Rubrobacteraceae","Rubroba",NA,"Actinobacteria"
"Simkaniaceae","Simkani",NA,"Chlamydiae"
"Solibacteraceae","Solibac",NA,"Acidobacteria"
"Sphaerobacteraceae","Sphaero",NA,"Chloroflexi"
"Sphingobacteriaceae1","Sphin'bac",NA,"Bacteroidetes"
"Sphingomonadaceae","Sphin'mon",NA,"Proteobacteria"
"Steroidobacteraceae","Steroid",NA,"Proteobacteria"
"Streptomycetaceae2","Strepto",NA,"Actinobacteria"
"Syntrophobacteraceae","Syntrop",NA,"Proteobacteria"
"Thermaceae","Thermac",NA,"Deinococcus-Thermus"
"Thermosporotrichaceae","Thermos",NA,"Chloroflexi"
"Thioalkalispiraceae","Thioalk",NA,"Proteobacteria"
"Xanthobacteraceae","Xanthob",NA,"Proteobacteria"
"Xanthomonadaceae","Xanthom",NA,"Proteobacteria"
