"Full_name","Short_name","Species","Phylum"
"Acetobacteraceae1","Aceto'1",NA,"Proteobacteria"
"Acetobacteraceae2","Aceto'2","Acidisphaera_rubrifaciens","Proteobacteria"
"Acidobacteriaceae1","Acido'1",NA,"Acidobacteria"
"Acidobacteriaceae4","Acido'4","CandidatuKoribacter_versatilis","Acidobacteria"
"Acidothermaceae","Acidoth",NA,"Actinobacteria"
"Actinospicaceae","Actinos",NA,"Actinobacteria"
"Alicyclobacillaceae","Alicycl",NA,"Firmicutes"
"Anaerolineaceae","Anaerol",NA,"Chloroflexi"
"Anaeromyxobacteraceae1","Anaerom",NA,"Proteobacteria"
"Archangiaceae","Archang",NA,"Proteobacteria"
"Bacillaceae","Bacilla",NA,"Firmicutes"
"Beijerinckiaceae","Beijeri",NA,"Proteobacteria"
"Bradyrhizobiaceae","Bradyrh",NA,"Proteobacteria"
"Bryobacteraceae","Bryobac",NA,"Acidobacteria"
"Burkholderiaceae1","Burkhol",NA,"Proteobacteria"
"Catenulisporaceae","Catenul",NA,"Actinobacteria"
"Cellvibrionaceae","Cellvib",NA,"Proteobacteria"
"Chitinophagaceae1","Chitino",NA,"Bacteroidetes"
"Christensenellaceae","Christe",NA,"Firmicutes"
"Chthoniobacteraceae","Chthoni",NA,"Verrucomicrobia"
"Chthonomonadaceae","Chthono",NA,"Armatimonadetes"
"Comamonadaceae","Comamon",NA,"Proteobacteria"
"Conexibacteraceae","Conexib",NA,"Actinobacteria"
"Coxiellaceae","Coxiell",NA,"Proteobacteria"
"Cytophagaceae1","Cytopha",NA,"Bacteroidetes"
"Desulfarculaceae","Desulfa",NA,"Proteobacteria"
"Desulfovibrionaceae","Desulfo",NA,"Proteobacteria"
"Desulfuromonadaceae","Desulfu",NA,"Proteobacteria"
"Enterobacteriaceae","Enterob",NA,"Proteobacteria"
"Frankiaceae","Frankia",NA,"Actinobacteria"
"Gallionellaceae","Gallion",NA,"Proteobacteria"
"Gemmataceae1","Gemmata",NA,"Planctomycetes"
"Gemmatimonadaceae","Gemmati",NA,"Gemmatimonadetes"
"Geobacteraceae","Geobact",NA,"Proteobacteria"
"Geodermatophilaceae","Geoderm",NA,"Actinobacteria"
"Halanaerobiaceae","Halanae",NA,"Firmicutes"
"Holophagaceae","Holopha",NA,"Acidobacteria"
"Hyphomicrobiaceae1","Hyphomi",NA,"Proteobacteria"
"Ilumatobacteraceae","Ilumato",NA,"Actinobacteria"
"Isosphaeraceae","Isospha",NA,"Planctomycetes"
"Kineosporiaceae","Kineosp",NA,"Actinobacteria"
"Kofleriaceae","Kofleri",NA,"Proteobacteria"
