v1,v2,asso,diss,adja
Spirochaetaceae1,Phaselicystidaceae,0.201200529615818,0.631980802866741,0.368019197133259
Acidothermaceae,Gemmatimonadaceae,0.202755820980671,0.631365258396171,0.368634741603829
Nitrosomonadaceae,Bacillaceae,0.20296110552301,0.631283967195821,0.368716032804179
Pyrinomonadaceae,Spirochaetaceae1,0.203523872049353,0.631061062002183,0.368938937997817
Polyangiaceae,Gemmatimonadaceae,0.204600856611919,0.63063426143371,0.36936573856629
Chitinophagaceae1,Spirochaetaceae1,0.205354381060048,0.630335473751855,0.369664526248145
Acidothermaceae,Polyangiaceae,0.207147932432196,0.629623723968452,0.370376276031548
Planococcaceae,Acidimicrobiaceae,0.207945911533679,0.629306796589041,0.370693203410959
Acidimicrobiaceae,Verrucomicrobia_subdivision_33,0.207945911533682,0.62930679658904,0.37069320341096
Acidimicrobiaceae,Thermoanaerobacteraceae,0.207945911533683,0.629306796589039,0.370693203410961
Planococcaceae,Thermoanaerobacteraceae,0.207945911533686,0.629306796589038,0.370693203410962
Thermoanaerobacteraceae,Verrucomicrobia_subdivision_33,0.207945911533686,0.629306796589038,0.370693203410962
Planococcaceae,Verrucomicrobia_subdivision_33,0.207945911533687,0.629306796589038,0.370693203410962
Acidimicrobiaceae,Peptostreptococcaceae,0.207945911533687,0.629306796589038,0.370693203410962
Planococcaceae,Peptostreptococcaceae,0.207945911533688,0.629306796589037,0.370693203410963
Acidimicrobiaceae,Lentimicrobiaceae,0.207945911533688,0.629306796589038,0.370693203410962
Peptostreptococcaceae,Thermoanaerobacteraceae,0.207945911533688,0.629306796589037,0.370693203410963
Planococcaceae,Methylocystaceae,0.207945911533689,0.629306796589037,0.370693203410963
Acidimicrobiaceae,Methylocystaceae,0.20794591153369,0.629306796589036,0.370693203410964
Lentimicrobiaceae,Verrucomicrobia_subdivision_33,0.20794591153369,0.629306796589037,0.370693203410963
Peptostreptococcaceae,Verrucomicrobia_subdivision_33,0.20794591153369,0.629306796589037,0.370693203410963
Thermoanaerobacteraceae,Methylocystaceae,0.20794591153369,0.629306796589036,0.370693203410964
Lentimicrobiaceae,Thermoanaerobacteraceae,0.207945911533691,0.629306796589036,0.370693203410964
Planococcaceae,Lentimicrobiaceae,0.207945911533692,0.629306796589036,0.370693203410964
Methylocystaceae,Verrucomicrobia_subdivision_33,0.207945911533692,0.629306796589036,0.370693203410964
Peptostreptococcaceae,Methylocystaceae,0.207945911533695,0.629306796589034,0.370693203410966
Lentimicrobiaceae,Peptostreptococcaceae,0.207945911533696,0.629306796589034,0.370693203410966
Lentimicrobiaceae,Methylocystaceae,0.207945911533696,0.629306796589034,0.370693203410966
Chthoniobacteraceae,Moraxellaceae,0.208135819029329,0.629231348937206,0.370768651062794
Hyphomicrobiaceae1,Clostridiaceae1,0.211196719971678,0.628014044440219,0.371985955559781
Solibacteraceae,Polyangiaceae,0.213562794835621,0.627071449343844,0.372928550656156
Chthoniobacteraceae,Geobacteraceae,0.214617667045459,0.626650753192933,0.373349246807067
Isosphaeraceae,Bryobacteraceae,0.217731792881724,0.625407150230262,0.374592849769738
Pyrinomonadaceae,Clostridiaceae1,0.218893454355353,0.624942615623485,0.375057384376515
Nitrosomonadaceae,Planococcaceae,0.219315997838944,0.624773559844307,0.375226440155693
Nitrosomonadaceae,Thermoanaerobacteraceae,0.219315997838944,0.624773559844307,0.375226440155693
