"","v1","v2","asso","diss","adja"
"1","Acidobacteriaceae1","Gallionellaceae","0.11878798508566","0.663781596202523","0.336218403797477"
"2","Solibacteraceae","Bacillaceae","-0.0093550705084906","0.71040659854357","0.28959340145643"
"3","Solibacteraceae","Alicyclobacillaceae","0.0582726630667789","0.686195065900805","0.313804934099195"
"4","Pyrinomonadaceae","Beijerinckiaceae","0.253014958018683","0.61114034475778","0.38885965524222"
"5","Acidothermaceae","Anaeromyxobacteraceae1","-0.0412697187565602","0.721550316594955","0.278449683405045"
"6","Acidothermaceae","Steroidobacteraceae","-0.0417310609982303","0.721710142993096","0.278289857006904"
"7","Acidothermaceae","Verrucomicrobia_subdivision_31","-0.0664088467161069","0.730208479379727","0.269791520620273"
"8","Nocardiaceae","Bryobacteraceae","-0.0715243537766498","0.731957769880425","0.268042230119575"
"9","Nocardiaceae","Beijerinckiaceae","0.01019504409821","0.703493054657183","0.296506945342817"
"10","Nocardiaceae","Legionellaceae","0.0333716392811572","0.695208012295184","0.304791987704816"
"11","Nocardiaceae","Lachnospiraceae","0.0328848109314117","0.695383055972961","0.304616944027039"
"12","Nocardiaceae","Neisseriaceae","0.0330396408854213","0.695327390196366","0.304672609803634"
"13","Nocardiaceae","Spirochaetaceae2","0.0335207004685204","0.695154407139694","0.304845592860306"
"14","Geodermatophilaceae","Thermaceae","0.0267715546292501","0.697577395480512","0.302422604519488"
"15","Geodermatophilaceae","Halanaerobiaceae","0.0267085609861495","0.697599970976867","0.302400029023133"
"16","Geodermatophilaceae","Xanthomonadaceae","0.0285057491687204","0.696955612227665","0.303044387772335"
"17","Geodermatophilaceae","Ktedonobacteraceae2","0.0291124265080271","0.696737961321174","0.303262038678826"
"18","Geodermatophilaceae","Desulfuromonadaceae","0.0289696700512012","0.696789182589971","0.303210817410029"
"19","Pseudonocardiaceae","Thermaceae","0.0353958079460601","0.694479730465166","0.305520269534834"
"20","Pseudonocardiaceae","Halanaerobiaceae","0.0350596537124412","0.694600729299775","0.305399270700225"
"21","Pseudonocardiaceae","Catenulisporaceae","0.0366688331266476","0.694021313387908","0.305978686612092"
"22","Pseudonocardiaceae","Leptolyngbyaceae","0.0362954014932202","0.694155817704779","0.305844182295221"
"23","Ktedonobacteraceae1","Bradyrhizobiaceae","0.050274397093829","0.68910289612879","0.31089710387121"
"24","Ktedonobacteraceae1","Opitutaceae","-0.00687992498028367","0.709535032602437","0.290464967397563"
"25","Thermaceae","Halanaerobiaceae","0.396467884482103","0.549332374577494","0.450667625422506"
"26","Gemmataceae1","Holophagaceae","-0.0310645352504916","0.718005757376113","0.281994242623887"
"27","Isosphaeraceae","Beijerinckiaceae","0.00498331449670864","0.705342712978341","0.294657287021659"
"28","Isosphaeraceae","Verrucomicrobia_subdivision_31","-0.0606183140795158","0.728223287899912","0.271776712100088"
"29","Xanthobacteraceae","Coxiellaceae","-0.0032569715630909","0.70825735843798","0.29174264156202"
"30","Acetobacteraceae1","Conexibacteraceae","-0.169311270244505","0.764627775536733","0.235372224463267"
"31","Kofleriaceae","Coxiellaceae","-0.0345787160959625","0.719228307318324","0.280771692681676"
"32","Polyangiaceae","Conexibacteraceae","-0.0157222378212825","0.712643753154857","0.287356246845143"
"33","Mycobacteriaceae1","Paenibacillaceae1","0.00098215918078981","0.70675945017354","0.29324054982646"
"34","Mycobacteriaceae1","Thermosporotrichaceae","0.0437899009546796","0.691451407925864","0.308548592074136"
"35","Chitinophagaceae1","Chthoniobacteraceae","-0.241375042434694","0.787837242847371","0.212162757152629"
"36","Chitinophagaceae1","Bacillaceae","-0.0283885745479631","0.717073418328961","0.282926581671039"
"37","Chitinophagaceae1","Gallionellaceae","0.0243695680205978","0.698437696569781","0.301562303430219"
"38","Chitinophagaceae1","Thermoanaerobaculaceae","0.0273032934330495","0.697386803204273","0.302613196795727"
"39","Hyphomicrobiaceae1","Steroidobacteraceae","-0.0585641298648094","0.727517742005241","0.272482257994759"
"40","Hyphomicrobiaceae1","Bradyrhizobiaceae","0.0278217264411212","0.697200929990372","0.302799070009628"
"41","Burkholderiaceae1","Anaeromyxobacteraceae1","-0.0180245327378898","0.713450955825938","0.286549044174062"
"42","Nitrosomonadaceae","Anaeromyxobacteraceae1","0.0495489950735325","0.689366014873981","0.310633985126019"
"43","Nitrosomonadaceae","Anaerolineaceae","0.028189739481957","0.697068956602589","0.302931043397411"
"44","Anaeromyxobacteraceae1","Verrucomicrobia_subdivision_31","0.00257068287466766","0.706197322681605","0.293802677318395"
"45","Anaeromyxobacteraceae1","Geobacteraceae","0.088018794953357","0.67527076237856","0.32472923762144"
"46","Steroidobacteraceae","Verrucomicrobia_subdivision_31","0.0174730992234628","0.700901883567357","0.299098116432643"
"47","Catenulisporaceae","Leptolyngbyaceae","0.396471259059258","0.549330838812433","0.450669161187567"
"48","Catenulisporaceae","Enterobacteriaceae","0.0678274401322405","0.682705119311317","0.317294880688683"
"49","Catenulisporaceae","Coxiellaceae","0.0210499809388064","0.699624906310944","0.300375093689056"
"50","Gemmatimonadaceae","Gallionellaceae","0.0123211755333581","0.702737086137711","0.297262913862289"
"51","Sphingomonadaceae","Sphingobacteriaceae1","0.0213911739976326","0.699502975691443","0.300497024308557"
"52","Sphingomonadaceae","Ilumatobacteraceae","0.131808208855494","0.658859541611301","0.341140458388699"
"53","Sphingomonadaceae","Coxiellaceae","0.0261426431570863","0.697802750368223","0.302197249631777"
"54","Sphingomonadaceae","Micrococcaceae","0.132760633519623","0.658498051052688","0.341501948947312"
"55","Sphingomonadaceae","Cytophagaceae1","0.132708662459721","0.658517781665871","0.341482218334129"
"56","Solirubrobacteraceae","Thermosporotrichaceae","0.0444192100254589","0.691223838555406","0.308776161444594"
"57","Simkaniaceae","Phaselicystidaceae","0.0911435699683378","0.674112909693792","0.325887090306208"
"58","Simkaniaceae","Archangiaceae","0.0445067149167478","0.691192189294429","0.308807810705571"
"59","Simkaniaceae","Planococcaceae","0.0452480112594944","0.690924014903414","0.309075985096586"
"60","Simkaniaceae","Acetobacteraceae2","0.0451556364774365","0.690957438458608","0.309042561541392"
"61","Micropepsaceae","Thermoanaerobaculaceae","-0.100181558970162","0.741681049700666","0.258318950299334"
"62","Micropepsaceae","Opitutaceae","0.0187136237336307","0.700459269431981","0.299540730568019"
